canonicalKey,displayName,legacyPageLabel,imageFilename,sourceUrl,altText,imageStatus,confidence
dona-rellena-de-crema-bavaria__bavarian-cream-filled-donut,Dona rellena de crema Bavaria / Bavarian cream filled donut,Bavarian cream filled donuts,132-bavarian-cream-filled-donuts.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1549138107629-T9G4PN297GA8M34O7EG6/IMG_6019.JPG,Photo of Bavarian cream filled donuts from Juquilita Bakery.,legacyVerified,high
budin-clasico__classic-bread-pudding,Budín clásico / Classic bread pudding,Budín Mexican bread pudding,123-budin-mexican-bread-pudding.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1549138016813-0K68G6L6C37WHQ93CNBM/IMG_3564.JPG,Photo of Budín Mexican bread pudding from Juquilita Bakery.,legacyVerified,high
budin-de-durazno-y-coco__peach-coconut-bread-pudding,Budín de durazno y coco / Peach coconut bread pudding,,,,Photo coming soon for Peach coconut bread pudding.,needsOwnerPhoto,low
rebanada-de-tres-leches__tres-leches-cake-slice,Rebanada de tres leches / Tres leches cake slice,Tres leches sheet cake slices with strawberries,005-tres-leches-sheet-cake-slices-with-strawberries.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1686775518332-BBUWJ94V1SFCFBPMG914/IMG_1940.jpeg,"Tres leches cake slices topped with whipped cream, strawberries, and chocolate drizzle.",legacyVerified,high
flan__caramel-custard,Flan / Caramel custard,,,,Photo coming soon for Caramel custard.,needsOwnerPhoto,low
chocoflan__chocoflan-slice,Chocoflan / Chocoflan slice,,,,Photo coming soon for Chocoflan slice.,needsOwnerPhoto,low
tarta-de-fruta__fruit-tart,Tarta de fruta / Fruit tart,Fresh fruit tart,008-fresh-fruit-tart.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1686775870973-H4PJOFKABI8Z0C0QVAA4/IMG_2969.jpeg,"Fruit tart topped with strawberries, blueberries, banana, and cream.",legacyVerified,high
pinguino__penguin-cake,Pingüino / Penguin cake,Pingüino cakes,121-pinguino-cakes.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1549138138944-MQ54WLV751LRWQIC13EY/IMG-4445.jpg,Photo of Pingüino cakes from Juquilita Bakery.,legacyVerified,high
tomatillo__tomatillo-cake,Tomatillo / Tomatillo cake,Tomatillos,120-tomatillos.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1549138150566-9RGLOZ33H43KWCE8K7EJ/IMG-4447.jpg,Photo of Tomatillos from Juquilita Bakery.,legacyVerified,high
mechudo__mechudo-cake,Mechudo / Mechudo cake,Mechudos,119-mechudos.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1549138158513-WZYB435REO7O3P4PPSA1/IMG-4451.jpg,Photo of Mechudos from Juquilita Bakery.,legacyVerified,high
nino-envuelto__rolled-cake,Niño envuelto / Rolled cake,Niños envueltos,117-ninos-envueltos.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1549138140692-ICLBX720JFRPK52ASJUF/IMG-4446.jpg,Photo of Niños envueltos from Juquilita Bakery.,legacyVerified,high
cubilete-de-queso__mexican-cheese-pie,Cubilete de queso / Mexican cheese pie,Cubiletes de queso,122-cubiletes-de-queso.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1549138003796-P2N8BG0IYCW01OH02X9Z/IMG_3547.JPG,Photo of Cubiletes de queso from Juquilita Bakery.,legacyVerified,high
beso-yoyo__kiss-or-yoyo-cookie-sandwich,Beso / Yoyo / Kiss or yoyo cookie sandwich,Besos and yo-yos,125-besos-and-yo-yos.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1549138045664-MJVBENXVLDFFLPX6S2QZ/IMG_5946.JPG,Photo of Besos and yo-yos from Juquilita Bakery.,legacyVerified,high
mantecada-con-nuez__pecan-mantecada,Mantecada con nuez / Pecan mantecada,Mantecadas with pecan,111-mantecadas-with-pecan.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1549138081054-TAOXVNRM394080UMVMUS/IMG_6005.JPG,Photo of Mantecadas with pecan from Juquilita Bakery.,legacyVerified,high
mantecada-con-gragea-de-chocolate__chocolate-sprinkle-mantecada,Mantecada con gragea de chocolate / Chocolate-sprinkle mantecada,Mantecadas with chocolate sprinkles,113-mantecadas-with-chocolate-sprinkles.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1549138083579-C6BNFPQT7QLHV0YL8K7I/IMG_6007.JPG,Photo of Mantecadas with chocolate sprinkles from Juquilita Bakery.,legacyVerified,high
ojos-de-buey__ox-eye-pastry,Ojos de buey / Ox eye pastry,Ojos de Buey,116-ojos-de-buey.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1549171708382-9CZBW05JFDKWHUYEA3WT/0115190911_2+%281%29.jpg,Photo of Ojos de Buey from Juquilita Bakery.,legacyVerified,high
mini-cake-tres-leches__mini-tres-leches-cake,Mini cake tres leches / Mini tres leches cake,,,,Photo coming soon for Mini tres leches cake.,needsOwnerPhoto,low
pastel-1-4-de-plancha__1-4-sheet-cake,Pastel 1/4 de plancha / 1/4 sheet cake,,,,Photo coming soon for 1/4 sheet cake.,needsOwnerPhoto,low
pastel-1-2-de-plancha__1-2-sheet-cake,Pastel 1/2 de plancha / 1/2 sheet cake,,,,Photo coming soon for 1/2 sheet cake.,needsOwnerPhoto,low
pastel-plancha-completa__full-sheet-cake,Pastel plancha completa / Full sheet cake,,,,Photo coming soon for Full sheet cake.,needsOwnerPhoto,low
flan-1-4-de-plancha__quarter-sheet-flan-tray,Flan 1/4 de plancha / Quarter-sheet flan tray,,,,Photo coming soon for Quarter-sheet flan tray.,needsOwnerPhoto,low
chocoflan-10-pulgadas__10-inch-chocoflan,Chocoflan 10 pulgadas / 10 inch chocoflan,,,,Photo coming soon for 10 inch chocoflan.,needsOwnerPhoto,low
pastel-decorado-personalizado__custom-decorated-cake,Pastel decorado personalizado / Custom decorated cake,White 25th anniversary tier cake,014-white-25th-anniversary-tier-cake.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1549222296998-FD7E01L9E412V23AU72G/IMG_0207.JPG,White tiered 25th anniversary cake with piped decoration.,legacyVerified,high
pan-de-muerto-azucar-blanca__white-sugar-pan-de-muerto,Pan de Muerto azúcar blanca / White sugar Pan de Muerto,,,,Photo coming soon for White sugar Pan de Muerto.,needsOwnerPhoto,low
pan-de-muerto-azucar-rosa__pink-sugar-pan-de-muerto,Pan de Muerto azúcar rosa / Pink sugar Pan de Muerto,,,,Photo coming soon for Pink sugar Pan de Muerto.,needsOwnerPhoto,low
pan-de-muerto-de-yema-con-carita__oaxacan-face-pan-de-muerto,Pan de Muerto de yema con carita / Oaxacan face Pan de Muerto,Pan de Muerto muñecos with pan de yema,011-pan-de-muerto-munecos-with-pan-de-yema.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/0ee549bb-86d8-40d9-a200-bad9258014ac/IMG_1728.jpg,Photo of Pan de Muerto muñecos with pan de yema from Juquilita Bakery.,legacyVerified,high
rosca-de-reyes__king-cake-ring,Rosca de Reyes / King cake ring,"Rosca de Reyes with green, yellow, and red topping",004-rosca-de-reyes-with-green-yellow-and-red-topping.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1686775596871-QD0K2PI2GD42G94KJXXP/IMG_1687.jpeg,"Close-up of Rosca de Reyes bread decorated with green, yellow, and red topping.",legacyVerified,medium
